12.287	2.722
12.391	2.735
12.301	2.735
12.322	2.749
12.261	2.767
12.27	2.759
12.248	2.785
12.305	2.786
12.233	2.791
12.235	2.801
12.328	2.831
12.465	2.871
12.205	2.835
12.23	2.83
12.209	2.865
12.257	2.878
12.196	2.892
12.261	2.895
12.202	2.904
12.216	2.918
12.227	2.937
12.256	2.939
12.149	2.932
12.178	2.95
12.122	2.965
12.179	2.97
12.156	3.005
12.171	3.004
12.108	3.023
12.146	3.039
12.125	3.038
12.162	3.056
12.087	3.058
12.094	3.064
12.017	3.085
12.066	3.093
12.047	3.112
12.096	3.112
12.043	3.127
12.063	3.144
12.004	3.142
12.081	3.164
11.992	3.154
12.051	3.181
11.958	3.17
12.056	3.198
11.979	3.191
12.046	3.226
11.913	3.198
12.391	2.735
12.287	2.722
12.301	2.735
12.322	2.749
12.27	2.759
12.276	2.751
12.261	2.767
12.305	2.786
12.324	2.792
12.233	2.791
12.248	2.785
12.235	2.801
12.328	2.831
12.465	2.871
12.205	2.835
12.23	2.83
12.3	2.866
12.345	2.882
12.209	2.865
12.257	2.878
12.261	2.895
12.279	2.901
12.196	2.892
12.202	2.904
12.216	2.918
12.245	2.921
12.227	2.937
12.256	2.939
12.149	2.932
12.178	2.95
12.179	2.97
12.21	2.973
12.122	2.965
12.202	2.984
12.171	3.004
12.186	3.003
12.156	3.005
12.181	3.02
12.108	3.023
12.146	3.039
12.125	3.038
12.162	3.056
12.354	3.113
12.709	3.202
12.087	3.058
12.094	3.064
12.138	3.09
12.177	3.103
12.017	3.085
12.066	3.093
12.047	3.112
12.095	3.127
12.043	3.127
12.098	3.143
12.004	3.142
12.063	3.144
11.992	3.154
12.051	3.181
11.958	3.17
12.056	3.198
11.979	3.191
12.052	3.21
11.913	3.198
11.988	3.22
11.94	3.22
12.04	3.247
11.884	3.231
11.928	3.244
12.003	3.27
12.018	3.282
12.21	3.344
12.559	3.438
11.853	3.262
11.923	3.276
11.996	3.316
11.999	3.31
11.844	3.3
11.899	3.31
11.9	3.337
11.95	3.342
11.881	3.345
11.952	3.377
11.79	3.345
11.89	3.374
11.863	3.38
11.937	3.401
11.793	3.386
11.87	3.409
11.842	3.415
11.91	3.436
11.767	3.418
11.853	3.445
11.889	3.46
11.9	3.471
11.745	3.452
11.79	3.46
11.874	3.497
11.872	3.504
11.728	3.487
11.792	3.501
11.855	3.539
11.86	3.533
11.708	3.521
11.747	3.527
11.702	3.54
11.805	3.572
11.745	3.567
11.809	3.599
11.674	3.571
11.754	3.597
11.719	3.599
11.801	3.627
11.657	3.606
11.729	3.629
11.708	3.636
11.78	3.661
11.636	3.64
11.725	3.674
11.681	3.668
11.766	3.694
11.621	3.675
11.733	3.711
11.683	3.709
11.707	3.709
11.602	3.709
11.656	3.721
11.698	3.746
11.72	3.761
11.782	3.787
11.92	3.836
11.59	3.746
11.652	3.76
11.575	3.761
11.705	3.796
11.619	3.79
11.663	3.816
11.68	3.828
11.678	3.836
11.617	3.829
11.677	3.848
11.542	3.83
11.647	3.852
11.588	3.86
11.637	3.869
11.65	3.899
11.652	3.904
11.528	3.866
11.627	3.906
11.572	3.895
11.647	3.92
11.512	3.901
11.617	3.937
11.597	3.937
11.623	3.952
11.812	4.027
12.103	4.125
11.494	3.935
11.555	3.95
11.602	3.979
11.607	3.988
11.794	4.063
11.539	3.985
11.554	3.997
11.469	3.987
11.543	4.001
11.521	4.022
11.524	4.021
11.489	4.023
11.496	4.023
11.455	4.023
11.573	4.065
11.477	4.058
11.486	4.062
11.483	4.073
11.5	4.076
11.424	4.066
11.549	4.11
11.448	4.101
11.477	4.099
11.464	4.114
11.492	4.131
11.454	4.132
11.467	4.145
11.415	4.137
11.5	4.177
11.458	4.174
11.485	4.193
11.468	4.196
11.536	4.223
11.993	4.408
12.552	4.611
11.593	4.273
11.604	4.282
11.639	4.311
11.666	4.312
11.952	4.435
11.679	4.346
11.738	4.378
11.787	4.408
11.88	4.438
11.978	4.488
11.899	4.481
11.971	4.498
12.014	4.53
12.045	4.557
12.114	4.595
12.125	4.598
12.16	4.629
12.174	4.649
12.263	4.695
12.269	4.697
12.329	4.737
12.348	4.758
12.401	4.793
12.635	4.886
12.504	4.849
12.544	4.88
12.594	4.913
12.772	4.995
12.675	4.961
12.768	5.002
12.733	4.999
12.751	5.007
12.771	5.041
12.786	5.035
12.932	5.124
12.969	5.128
13.078	5.189
13.19	5.251
13.132	5.251
13.168	5.254
13.337	5.34
13.383	5.375
13.372	5.383
13.401	5.401
13.537	5.468
13.651	5.531
13.575	5.514
13.635	5.528
13.583	5.524
13.725	5.594
13.856	5.665
13.865	5.672
13.991	5.726
14.247	5.831
13.827	5.674
13.916	5.711
14.172	5.845
14.191	5.86
14.198	5.88
14.41	5.97
14.371	5.98
14.428	5.992
14.41	6.004
14.572	6.072
14.662	6.13
14.686	6.137
14.742	6.19
14.743	6.189
14.766	6.239
14.808	6.246
15.12	6.404
14.774	6.286
14.276	6.099
14.321	6.107
14.442	6.187
